,comments
39,Nguyệt Nga r u okey:>
40,Phạm Phương Thảo Nguyễn Trang sầu
41,Kien Hoang xin 50k
42,Đình Hoàng Võ ổn ko
43,Quỳnh Trang còn sống nhé
44,Vũ Phương nao cho anh đi học ké nhó
45,Bảo Long okee gái iu nhó
46,Vũ Phương ăn mặc bảnh bao đi học ké ngừi eo
47,Cường PhanKhắc Tuấn
48,Hoàng Minh Anh
49,Lê Thị Mai Hương
50,Trung Hiếu
51,Trịnh Xuân Lộc
52,Nguyễn Thọ Đạt
53,Triệu Vy bn khoá d24 à
54,Nguyễn Thọ Đạt khoá nào mà ny bn ớ
55,
56,Yến Nhi
57,Tôi yêu trường của tôi
58,Nguyễn Kim Nhật Minh i'm sorry
59,Vch
60,"𝐓𝐡𝐢 𝐛𝐚̆̀𝐧𝐠 𝐥𝐚́𝐢 𝐱𝐞 𝐀𝟏 - 𝐍𝐡𝐚𝐧𝐡 𝐜𝐡𝐨́𝐧𝐠, 𝐝𝐞̂̃ 𝐝𝐚̀𝐧𝐠, đ𝐚̣̂𝐮 𝟏𝟎𝟎%!
Bạn đang muốn tự do vi vu trên những cung đường, nhưng chưa có bằng lái xe? Đừng lo! Hãy tham gia ngay khóa học thi bằng lái xe A1 của chúng tôi."
61,ngành khác có đc vào chơi gêm không nhỉ
62,Nguyễn Bá Hùng đây mới là chữ mà các ẻm cần phải chú ý…
63,1 củ 1 tín có khác :)))
64,Nhìn kiểu này thì cá chắc ngành khác cũng có phần
65,Mình tốt nghiệp cái là trường phát triển lên hẳn :))
66,"phong cách, phong cáchhhh"
67,Đợi ra trường r mới xây là như nào ????
68,Kiên có chắc là ra trường chưa
69,Dương Trang hahaha đau
70,Kiên ở lại vài năm nữa vẫn đc mà
71,Phương Thắng có tiền là cx ở lại đấy mà trường hút máu quá
72,Phương Thắng ko ra nữa nhỉ?
73,Màu giống bưu điện z
74,Nhật Lê ptit là bưu điện mà
75,Thanh Vũ sống hết mình với thứ gọi là đam mê
76,"Ánh Dương đi về nào
về học tiếp thôi, chần chờ gì b ơi"
77,Lê Thị Mai Hương bạn về tôi về
78,Ánh Dương lói dc làm dc =)))) toi cap màn hình
79,"Lê Thị Mai Hương oke, t ở HĐ đợi b"
80,
81,Phong Nam Ngô Huế Thúy Hạnh Linh Nguyễn đủ phong cách chưa? Về học ikkk
82,Hang Nguyen mình sợ nên xin phép đi về
83,Hang Nguyen học thạc sỹ nhé
84,Oách Duc Anh Đinh Sơn Tùng
85,Nguyễn Duy Nam uoc
86,Bưu chính à:))
87,Ối Nguyễn Hữu Đức
88,Ngô Việt Hoàng hằng ngày leo 5 cái cầu thang cũng vui
89,cái gì đây
90,Hieu Gia bộ asiimov này hơi đắt:))
91,Hoàng Hiệp trường giờ hơi khét
92,Thế này thì uy tín quá a nhỉ?
93,Thu Trang
94,Hoàng Hiệp wao dữ ta
95,???
96,Nguyen Hoang Nam khó nói
97,Ừ e. Cầm tiền ra Ao Sen ăn bún nhé
98,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa
99,đ thể nào thế được
100,Nguyễn Hữu Việt lần đầu à a
101,Lê Thịnh :))
102,Nguyễn Hữu Việt nghe thấu trời thế a=))
103,Nguyễn Hữu Việt cầm tiền làm bát phở còn no hơn
104,"Các thầy cô không chấm sai đâu vì có barem điểm hết rồi, nếu có nhầm thì chỉ nhầm lúc nhập điểm thôi, nhiều trường hợp phúc khảo xong điểm còn tụt điểm xuống ấy chứ :)))"
105,Đức Minh Đỗ leuleu mất bát bún bo
106,Nguyễn Tê Hương thôi biết đâu năm sau trường mới xét bạn
107,Huy Vu m đăng à :))?
108,Lý Trọng Nghĩa người đầu tiên được xem lại đề thi của chính mình :))
109,2 bát bún bò từ 2022 đến giờ chưa được duyệt
110,Nguyễn Văn Nhất suýt nữa mất bát bún
111,Long Đàm mai đi ăn bún vịt quay bạn nhé
112,Nguyễn Văn Nhất nghiện quá rồi b
113,Đúng vậy
114,Kiều Hồng Phong sao rồi z
115,Hoàng Xuân Mai up
116,Phúc khảo ở ptit thì ra ao sen ăn bún cho no bụng
117,Minh Hiếu Đậu Văn đã từng pay màu 30k
118,Linh Trần Khánh em còn mất 50k đây
119,Minh Hiếu Đậu Văn trải nghiệm em nạ
120,Minh Hiếu Đậu Văn xưa anh chị nói có nghe mô. lỳ thì trả zá thôi
121,Linh Trần Khánh lỳ như chị zayaj
122,Cầm bát bún bò ném qua cửa sổ
123,Nguyễn Trung Anh mất cả bát lẫn bún :))
124,"Tổng kho Giày dép mẫu mã siêu đa dạng, cứ gọi là đầy đủ, luôn cập nhật tại nhóm https://zalo.me/g/bwctdz813 các bác ạ"
125,"Sinh viên giờ giống khách hàng nhỉ. Em có nguyện vọng hay đóng góp gì thì liên hệ trực tiếp với Học viện nha
Về chất lượng đào tạo của các Khoa, ngành, chương trình đào tạo đã có các đơn vị thẩm định đánh giá chất lượng.
Tự do ngôn luận là con dao h… Xem thêm"
126,Duy Khánh bạn cứ bị lói chuẩn thế nhẩu
127,"nhắn tin, gọi điện mà trường không trả lời luôn á:)) mãi chê... mà biết sao giờ, lỡ đóng học phí r mà:)))"
128,"quả điểm chuẩn thì đúng là muộn thật nhưng muộn so với trường khác chứ kh muộn deadline nên cũng kh trách được =))) trường hợp lỗi hệ thống thì trộm vía t kh dính, cái mà hồ sơ kh hợp lệ t chỉ dính lúc trường chưa công bố điểm chuẩn th =))) muộn so với… Xem thêm"
129,t vẫn đang yêu trường nên mốt có gì t chửi sau hihi =))) trong chăn mới biết chăn có rận đâu trường nào hoàn hảo được 100%
130,Chê rất nhiều từ các cựu sinh vien nhưng các bạn vẫn đâm đầu vào học thì chịu thôi chứ trách ai :))
131,Ủa chuyện quá bình thường ở trường luôn ấy. Không đọc review à
132,trường k có nhiều điểm đâu.em trừ thế này chắc âm cmn mất :))
133,"Kỳ sau giật đc cái hb là lại yêu trường ngay ý mà , yên tâm"
134,"Ai sợ thì đi về, ko nhập học"
135,link không vào được ad ơi
136,Hoàng Nguyễn CIE đã nhắn tin hỗ trợ em. Em check nhé
137,Game khó quá ai làm video walkthrough đc ko @@
138,"Game như hạch, đăng nhập còn đéo vào đc"
139,Hoàng Trần Phong có vào đc đâu
140,Cao Nguyen tải ve chơi đc méo đâu
141,Diệu Linh cô gửi cho tôi đk
142,"Anh Duong tôi cx đc nhận từ ngkhac mà, zô tội"
143,Diệu Linh hóa ra muốn chết chung
144,"Anh Duong
coá bit gì đâu"
145,???
146,Tran Quoc Anh hoang mang quá ạ
147,Dvan Được ngáo luôn
148,Dạ vâng em biết lỗi rồi
149,Trần Diễm Kiều dối trá
150,Đàm Quốc Hiệu một phút lầm lỡ:(((
151,Trần Diễm Kiều chuỵ hư qué chuỵ oi
152,Em xin lỗi mà trời ơi
153,Văn Hoàng sáng nay vừa quét xong
154,Trần Tú kh khác nhau
155,Văn Hoàng trời huhu
156,Trần Ngọc trời huhu
157,Rất lòng vòng
158,Khanh Toan trân trọng
159,Trần Phương Khang hả hoang mang v
160,Khánh Linh cố cày game thôi b
161,Nguyenn Anh Tu thích crack game k
162,Đặng Đức Tài sisi
163,Ngô Lê Lộc Việt ét ô ét anh ơi
164,An An chưa đánh đã khai
165,Thảo Ly :(( th để cày game
166,An An 1/2 trong số đấy là pt04
167,Em còn cái mê cung thôi có được không sốp ơi
168,chừa rồi:)
169,Trương Công Chiến sau chừa
170,Phải chơi xong mới được quét mã ạ
171,Tạm biệt game
172,Le Hiep pp
173,Chơi kiểu gì thế ạ ;)))
174,hóng video speedrun
175,em ko giải nén dc file ai lên video hướng dẫn dc ko ạ
176,Qr ngoài map
177,em xin lỗi
178,chơi kỉu gì v ạ
179,Bùn
180,Đinh Thị Thanh Tâm phải chơi game th
181,Hải Yến mình skip bước đầu :))
182,Phan Đạt tội quét k gửi t
183,Phan Đạt trả giá đi !
184,rial
185,im sorry
186,Mỹ Duyên e xl
187,Bùi Hiệp -1 đrl
188,Mỹ Duyên kim bài bất tử lớp phó=)))
189,Bùi Hiệp có chức có quyền =)))
190,bye
191,Đào Hà My chừa chưa =)))
192,Nguyễn Khánh dạ e chừa rồi
193,Chu Minh Đức Nghĩa
194,Phạm Linh Thảo có ae mình không =)))
195,Nguyễn Ngọc Tuấn Bình khả năng...
196,khả lăng khả lăng :)))
197,Nguyễn Ngọc Tuấn Bình mình chơi là đc mà
198,?
199,???
200,Hồng Ngọc
201,Trần Như Quỳnh có cái đrl mà nhọc quá
202,NT Bình
203,Thu Hiềnn xin lỗi ạ
204,Quỳnh Vũ
205,tại sao npc đẹp trai mà tsv xấu trai vậy thật là bất công
206,Nguyễn Lê Kanh ẩu
207,
208,Học PTIT dễ lắm
209,Dễ đóng mấy củ hã :))
210,Dễ học lại ha
211,Phạm LannAnhh Nguyễn Nhung dễ cho trường thành tone cam cháy
212,Dễ mất tiền :))
213,Thật không để đi đồn
214,lùa gà nè
215,Ad có phét k taa???
216,Thk nào đồn
217,dễ học lại
218,
219,"Trường tăng học phí
Chắc chào tân mời J97 rồi"
220,riel
221,đúng gu owO
222,Cường Nguyễn chồng chị mà dám tranh à e
223,Ngô Thị Hồng Hạnh m tranh chồng t à con lợn này
224,trg éo đần đến z đâu
225,mua lightstick thôi
226,Vipppp
227,Hà Kim Dung mua lightstick đi quẩy đi dung
228,"Bích Ngọc dung đặt 1 bì ròi, chia mỗi ae mỗi cái =))"
229,Hà Kim Dung cả lò cảm ơn Dung
230,Mỗi ngành tăng 5 củ là vừa
231,Mai Hoa thiên lý ơi em có thể ở lại đây không
232,"Đoàn Thảo đã he, đã he, mua lightstick chưa"
233,Mai Hoa ch j đã thấy phát sáng
234,Tuấn Phùng mua lightstick chưa còn vẫy :)))
235,Giang An Lan này phải 2 cái 2 tay =))
236,t mua sẵn 3 cái lighstick rồi chỉ chờ a jack thôi
237,Minh Quân bán rẻ cho 1 cái đi chú
238,Minh Quân ... của m cx to đấy nhỉ cắm đc 3 cái luôn mà
239,Đoàn Thảo thiên lý ơi
240,Hồng Ngát mê nha mê nha
241,Đoàn Thảo cho tiền mua lightstick dẩy đê
242,Hồng Ngát ăn c*op đi
243,Đoàn Thảo học thuộc bài trc đi
244,Xuyến Chi chi thích lắm
245,Hương Diệu mê
246,Xuyến Chi đum đúm thích mê
247,Nnguyễn Đức Thuận tăng 1tr học phí phải tặng free mỗi em 1 lai sờ tích chây 97
248,Trần Linh nghinh về lm đèn học soi sáng tươq lai
249,Đinh Nam mua lightstick chưa còn dùng
250,Bach Vinh ổn k a
251,Mua lightstick J97 dần thôi
252,"Lê Quang Mạnh Đóm chúa cũng cần mua ư, tưởng anh J tặng cho chứ"
253,"Bùi Hồng Hà anh J bán lightstick còn có tiền mà chu cấp cho con mà, nên ảnh k cho dc"
254,Hải Bùi thiên lí ơi
255,Nguyễn Hiếu chịu
256,Nam Phương mê
257,Lan Anh Metawin iu iuu
258,"Thùy Linh elm hối hận ch, trc bảo tài trợ cho cái lighstick thì khum cần, sắp tới trg mời anh rách zề kìa"
259,Yến Phạm thôi bỏ album soobin để mua lighstick
260,"Thùy Linh quá muộn r em ạ, chị đã chốt đơn, hết ngân sách dành cho anh rách r"
261,tự nhiên thấy mông phát sáng
262,Đến Thư viện học bài thui nào các bạn ơiiiiii
263,@người theo dõi
264,Nice
265,Niceeeee
266,Likeee
267,"Mai Hoa tối ra Thư viện học nhé, 0 gặp 0 về"
268,Trần Nguyệt
269,Quá tuỵt luôn ạ
270,Quang Minh
271,mở buổi trưa đi ạ
272,Nguyễn Thị Lan nguyện hiến dâng 2 tiếng chơi bời mỗi ngày của NTL để đổi lấy 2 tiếng mở buổi trưa của TV
273,Phương Linh Tuyệt vời
274,Trần Nguyễn Nhật Quang Trung Trung đi
275,kì này học đến 9h về nhé
276,"Khúc Nhật Linh chỉ học nhé, đừng để bị đuổi"
277,Trần Hiền triển
278,Phương Linh
279,Thảo Thảo Thảo đy
280,Phương Linh mai dj
281,Đinh Diễm Quỳnh giỏi lắm nha
282,Fan 2 chị Thao TranPhuong Quỳnh Nga
283,Phương Thảo Quỳnh Nga chúng mình có nhauu
284,TranPhuong Thao siêu
285,TranPhuong ThaoĐang ngồi cạnh nhau
286,Quỳnh Nga
287,Chúc mừng đại hội đã diễn ra thành công tốt đẹp ạ
288,toàn các diễn viên tương lai
289,Tuyệtt
290,Nguyễn Hà Dương Hà Ngọc các cậu có vui khi gặp lại tớ hong
291,Hà Ngọc Quỳnh Chi rất vui ạ
292,Quỳnh Chi còn ten xịn quá
293,Hà Ngọc t hỏi m có vui không cơ mà
